# rtl_cycle_trace time_ps	tag	message
38000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=0 zp=0 kh=0
38000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
38000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
38000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=0 w100=0 w200=0
42000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
42000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
42000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
42000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=x w100=x w200=x
46000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
46000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
46000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
46000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=x w100=x w200=x
50000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
50000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
50000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
50000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=x w100=x w200=x
54000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
54000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
54000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
54000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=x w100=x w200=x
58000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
58000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
58000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
58000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=x w100=x w200=x
62000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
62000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
62000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
62000	S3_INB_WR	ap=0 addr=0 d0=-26 d1=51
62000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=x w100=x w200=x
66000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
66000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
66000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
66000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=x w100=x w200=x
70000	S4_AGI	mode=0 bank=0 addr=0 ar0=0 ar1=0 pad=1 zp=0 kh=0
70000	S4_AGW	mode=0 bk=0 a0=0 a1=0 cin=0 cg=0 kw=0 kh=0
70000	S4_AGO	h=0 wb=0 cg=0 o0=0 o1=0 o2=0 o3=0
70000	S3_INB_WR	ap=0 addr=0 d0=21 d1=-76
70000	S5_RTR	mode=0 rin=0 a00=0 a10=0 a20=0 w000=x w100=x w200=x
