qYOLOv10n summary (fused): 129 layers, 2,265,558 parameters, 12,870 gradients, 6.5 GFLOPs
=== Full Model Scale Dump ===
Layer0: shape=[1, 16, 320, 320], scale=0.45564815402030945, zp=63
Layer0.conv: shape=[1, 16, 320, 320], scale=0.45564815402030945, zp=63
Layer0.act: shape=[1, 16, 320, 320], scale=0.45564815402030945, zp=63
Layer1: shape=[1, 32, 160, 160], scale=0.4952460527420044, zp=66
Layer1.conv: shape=[1, 32, 160, 160], scale=0.4952460527420044, zp=66
Layer1.act: shape=[1, 32, 160, 160], scale=0.4952460527420044, zp=66
Layer2: shape=[1, 32, 160, 160], scale=0.30158865451812744, zp=73
Layer2.cv1: shape=[1, 32, 160, 160], scale=0.4473540782928467, zp=84
Layer2.cv1.conv: shape=[1, 32, 160, 160], scale=0.4473540782928467, zp=84
Layer2.cv1.act: shape=[1, 32, 160, 160], scale=0.4473540782928467, zp=84
Layer2.cv2: shape=[1, 32, 160, 160], scale=0.30158865451812744, zp=73
Layer2.cv2.conv: shape=[1, 32, 160, 160], scale=0.30158865451812744, zp=73
Layer2.cv2.act: shape=[1, 16, 160, 160], scale=0.21739840507507324, zp=73
Layer2.m.0: shape=[1, 16, 160, 160], scale=0.16849936544895172, zp=0
Layer2.m.0.cv1: shape=[1, 16, 160, 160], scale=0.21739840507507324, zp=73
Layer2.m.0.cv1.conv: shape=[1, 16, 160, 160], scale=0.21739840507507324, zp=73
Layer2.m.0.cv1.act: shape=[1, 16, 160, 160], scale=0.24114066362380981, zp=63
Layer2.m.0.cv2: shape=[1, 16, 160, 160], scale=0.24114066362380981, zp=63
Layer2.m.0.cv2.conv: shape=[1, 16, 160, 160], scale=0.24114066362380981, zp=63
Layer2.m.0.cv2.act: shape=[1, 32, 160, 160], scale=0.30158865451812744, zp=73
Layer2.m.0.fl_func.activation_post_process: shape=[1, 16, 160, 160], scale=0.16849936544895172, zp=0
Layer2.fl.activation_post_process: shape=[1, 48, 160, 160], scale=0.1591939628124237, zp=0
Layer3: shape=[1, 64, 80, 80], scale=0.19515204429626465, zp=59
Layer3.conv: shape=[1, 64, 80, 80], scale=0.19515204429626465, zp=59
Layer3.act: shape=[1, 64, 80, 80], scale=0.19515204429626465, zp=59
Layer4: shape=[1, 64, 80, 80], scale=0.1297415792942047, zp=63
Layer4.cv1: shape=[1, 64, 80, 80], scale=0.19252093136310577, zp=60
Layer4.cv1.conv: shape=[1, 64, 80, 80], scale=0.19252093136310577, zp=60
Layer4.cv1.act: shape=[1, 64, 80, 80], scale=0.19252093136310577, zp=60
Layer4.cv2: shape=[1, 64, 80, 80], scale=0.1297415792942047, zp=63
Layer4.cv2.conv: shape=[1, 64, 80, 80], scale=0.1297415792942047, zp=63
Layer4.cv2.act: shape=[1, 32, 80, 80], scale=0.14881615340709686, zp=67
Layer4.m.0: shape=[1, 32, 80, 80], scale=0.08304440230131149, zp=0
Layer4.m.0.cv1: shape=[1, 32, 80, 80], scale=0.14881615340709686, zp=67
Layer4.m.0.cv1.conv: shape=[1, 32, 80, 80], scale=0.14881615340709686, zp=67
Layer4.m.0.cv1.act: shape=[1, 32, 80, 80], scale=0.14247746765613556, zp=65
Layer4.m.0.cv2: shape=[1, 32, 80, 80], scale=0.14247746765613556, zp=65
Layer4.m.0.cv2.conv: shape=[1, 32, 80, 80], scale=0.14247746765613556, zp=65
Layer4.m.0.cv2.act: shape=[1, 32, 80, 80], scale=0.14639753103256226, zp=66
Layer4.m.0.fl_func.activation_post_process: shape=[1, 32, 80, 80], scale=0.08304440230131149, zp=0
Layer4.m.1: shape=[1, 32, 80, 80], scale=0.1469385027885437, zp=0
Layer4.m.1.cv1: shape=[1, 32, 80, 80], scale=0.14639753103256226, zp=66
Layer4.m.1.cv1.conv: shape=[1, 32, 80, 80], scale=0.14639753103256226, zp=66
Layer4.m.1.cv1.act: shape=[1, 32, 80, 80], scale=0.20362207293510437, zp=54
Layer4.m.1.cv2: shape=[1, 32, 80, 80], scale=0.20362207293510437, zp=54
Layer4.m.1.cv2.conv: shape=[1, 32, 80, 80], scale=0.20362207293510437, zp=54
Layer4.m.1.cv2.act: shape=[1, 64, 80, 80], scale=0.1297415792942047, zp=63
Layer4.m.1.fl_func.activation_post_process: shape=[1, 32, 80, 80], scale=0.1469385027885437, zp=0
Layer4.fl.activation_post_process: shape=[1, 128, 80, 80], scale=0.13004577159881592, zp=0
Layer5: shape=[1, 128, 40, 40], scale=0.24758309125900269, zp=56
Layer5.cv1: shape=[1, 128, 80, 80], scale=0.11526603996753693, zp=60
Layer5.cv1.conv: shape=[1, 128, 80, 80], scale=0.11526603996753693, zp=60
Layer5.cv1.act: shape=[1, 128, 80, 80], scale=0.11526603996753693, zp=60
Layer5.cv2: shape=[1, 128, 40, 40], scale=0.24758309125900269, zp=56
Layer5.cv2.conv: shape=[1, 128, 40, 40], scale=0.24758309125900269, zp=56
Layer5.cv2.act: shape=[1, 128, 40, 40], scale=0.24758309125900269, zp=56
Layer6: shape=[1, 128, 40, 40], scale=0.1121821328997612, zp=61
Layer6.cv1: shape=[1, 128, 40, 40], scale=0.14085474610328674, zp=63
Layer6.cv1.conv: shape=[1, 128, 40, 40], scale=0.14085474610328674, zp=63
Layer6.cv1.act: shape=[1, 128, 40, 40], scale=0.14085474610328674, zp=63
Layer6.cv2: shape=[1, 128, 40, 40], scale=0.1121821328997612, zp=61
Layer6.cv2.conv: shape=[1, 128, 40, 40], scale=0.1121821328997612, zp=61
